Reading Profile files in profile.*

FUNCTION SUMMARY (total):
---------------------------------------------------------------------------------------
%Time    Exclusive    Inclusive       #Call      #Subrs  Inclusive Name
              msec   total msec                          usec/call 
---------------------------------------------------------------------------------------
100.0      1152082     44556705          32 3.09658E+06 1392397046 .TAU application
 80.4         1229     35843158          32      127663 1120098694 Driver_Main
 77.4       126687     34482735         288 9.12834E+06  119731719 Mesh::Initialize
  0.0         61.0         61.0         256           0        238 MPI_Allgatherv() 
  0.0         55.5         55.5         187           0        297 Kokkos::parallel_for Kokkos::View::initialization [recvbuf1] [device=0]
  0.0         55.2         55.2         195           0        283 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same0] [device=0]
  0.0         51.9         51.9         167           0        311 Kokkos::parallel_for Kokkos::View::initialization [recvbuf2] [device=0]
  0.0         50.1         50.1         203           0        247 Kokkos::parallel_for Kokkos::View::initialization [recvbuf0] [device=0]
  0.0         48.4         48.4         179           0        270 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same1] [device=0]
  0.0         45.8         45.8         145           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf3] [device=0]
  0.0         41.2         41.2         159           0        259 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same2] [device=0]
  0.0         39.5         39.5         125           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf4] [device=0]
  0.0         35.4         35.4         143           0        248 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same3] [device=0]
  0.0         35.0         35.0         111           0        316 Kokkos::parallel_for Kokkos::View::initialization [recvbuf5] [device=0]
  0.0         33.0         33.0         288           0        115 CalculateLoadBalance
  0.0         29.4         29.4          94           0        313 Kokkos::parallel_for Kokkos::View::initialization [recvbuf6] [device=0]
  0.0         28.7         28.7         122           0        236 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same4] [device=0]
  0.0         26.1         26.1          86           0        304 Kokkos::parallel_for Kokkos::View::initialization [recvbuf7] [device=0]
  0.0         25.1         25.1         107           0        235 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same5] [device=0]
  0.0         22.9         23.0           1           1      22952 MPI_File_read()
  0.0         22.8         22.8          76           0        300 Kokkos::parallel_for Kokkos::View::initialization [recvbuf8] [device=0]
  0.0         21.2         21.2          82           0        258 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same7] [device=0]
  0.0         20.9         20.9          90           0        233 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same6] [device=0]
  0.0         18.1         18.1          72           0        251 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same8] [device=0]
  0.0         16.2         16.2          32           0        507 MPI_File_close()
  0.0         14.4         14.4          50           0        288 Kokkos::parallel_for Kokkos::View::initialization [recvbuf9] [device=0]
  0.0         12.6         12.6         672           0         19 Kokkos::parallel_for Kokkos::View::initialization [MeshData::PackVariables::packs_mirror] [device=0]
  0.0         12.1         12.1          40           0        303 Kokkos::parallel_for Kokkos::View::initialization [recvbuf10] [device=0]
  0.0         11.8         11.8          38           0        311 Kokkos::parallel_for Kokkos::View::initialization [recvbuf11] [device=0]
  0.0         11.3         11.3          36           0        314 Kokkos::parallel_for Kokkos::View::initialization [recvbuf12] [device=0]
  0.0         11.3         11.3          46           0        245 Kokkos::parallel_for Kokkos::View::initialization [amr send buf same9] [device=0]
